name	x	y	type	color	basecolor	text	scalarX	scalarY	sizeX	sizeY	groupname	buttonType	function1	variable1	function2	variable2	function3	variable3
上下基礎読込	0	0	include	none	none	_TMPA												
黒背景	0	147	box	none	base1				800	293								
																		
画面番号	25	66	text	lightgray	none	Y02AA	1	1										
画面名称	102	66	text	lightgreen	none	運転通告詳細	2	1										
																		
司令番号基礎	30	86	text	lightgray	none	司令番号：	1	1										
司令番号内容	120	86	text	cyan	none	館浜-23/1	2	1										
受信者基礎	30	106	text	lightgray	none	受信者：	1	1										
受信者	102	106	text	white	none	臨９６４２Ａ／運転士，車掌	2	1										
表題基礎	30	126	text	lightgray	none	表　題：	1	1										
表題	102	126	text	cyan	none	臨時列車運転	2	1										
																		
通告内容	65	150	text	white	none	列　番　　臨９６４２Ａ\n区　間　　館　浜　～新大路\n種　別　　特急（Ｃ特１）\n編　成　　４６００形２連＋４６００形２連＋４６００形２連　６両\n　\n　　　　　　　　　着　　　　　　　　発　　　　番線\n館　浜　　　　　　　　　　　１６：３０．００　１\n駒　野　　　　　　レ　　　　１６：３１．３０　２\n津　崎　　　　　　レ　　　　１６：３５．１０　２\n浜　園　　　　　　レ　　　　１６：３６．０５　１\n新野崎　　　　　　レ　　　　１６：３８．１０　２\n江原　信　　　　　レ　　　　１６：３９．４０　上本\n大道寺　　１６：４１．００　１６：４２．００　１\n	1	1										
																		
受信時刻基礎	65	420	text	lightgray	none	［受信時刻：　時　分］	1	1										
受信時刻	173	420	text	white	none	16　17	1	1										
ページ数基礎	335	420	text	lightgray	none	（   ／   ）	1	1										
現ページ数	353	420	text	white	none	  1	1	1										
総ページ数	398	420	text	white	none	  3	1	1										
																		
通告一覧	350	445	button	indigo1	none	通告一覧	1	1	110	50		function	transition	Y01AA				
次画面	570	445	button	indigo1	none	次画面	1	1	110	50		function	transition	Y02AA_2				
																		
運転士メニュー	10	505	button	indigo1	none	運転士\nメニュー	1	1	90	65		function	transition	D00AA				
運転情報画面	110	505	button	indigo1	none	運転情報\n画面	1	1	90	65		function	transition	D01AC				
車掌メニュー	210	505	button	indigo1	none	車掌\nメニュー	1	1	90	65		function	transition	C00AA				
案内設定	310	505	button	indigo1	none	案内設定	1	1	90	65		function	transition	C07AA				
